X Y Z TIME
 0.39975539E+04  0.16738092E+06  0.95010000E+02  0.17119442E+07 
 0.40330538E+04  0.16726932E+06  0.10001000E+03  0.00000000E+00 
 0.47254120E+04  0.18151327E+06  0.10001000E+03  0.00000000E+00 
 0.46598546E+04  0.18159115E+06  0.97854784E+02  0.13815008E+06 
 0.46535207E+04  0.18160915E+06 -0.21452173E+01  0.18944931E+06 
 0.46150050E+04  0.18170915E+06 -0.25275409E+01  0.50357204E+06 
 0.45630863E+04  0.18180915E+06 -0.32320606E+01  0.93638491E+06 
 0.44931377E+04  0.18189698E+06 -0.33785533E+01  0.15375202E+07 
 0.43914481E+04  0.18196083E+06 -0.16214467E+01  0.24548071E+07 
 0.42650668E+04  0.18199054E+06 -0.16214467E+01  0.36756109E+07 
 0.41482026E+04  0.18199922E+06 -0.16214467E+01  0.48964147E+07 
 0.41106755E+04  0.18210030E+06  0.15918825E+01  0.52763326E+07 
 0.41012876E+04  0.18220057E+06  0.15602286E+01  0.53555736E+07 
 0.40923847E+04  0.18230083E+06  0.15262538E+01  0.54377518E+07 
 0.40839588E+04  0.18240107E+06  0.14896913E+01  0.55230937E+07 
 0.40760021E+04  0.18250131E+06  0.14502318E+01  0.56118531E+07 
 0.40685064E+04  0.18260154E+06  0.14075141E+01  0.57043154E+07 
 0.40614634E+04  0.18270175E+06  0.13611144E+01  0.58008034E+07 
 0.40548709E+04  0.18280186E+06 -0.38114949E+01  0.59015779E+07 
 0.40487186E+04  0.18290186E+06 -0.40010263E+01  0.60070491E+07 
 0.40429905E+04  0.18300186E+06 -0.42100814E+01  0.61178038E+07 
 0.40415118E+04  0.18310257E+06  0.80958500E+00  0.62626539E+07 
 0.40401911E+04  0.18320407E+06  0.82517945E+00  0.63961047E+07 
 0.40390078E+04  0.18330569E+06  0.83768412E+00  0.65191344E+07 
 0.40379385E+04  0.18340744E+06  0.84779750E+00  0.66332636E+07 
